Rk,Name,Age,Tm,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%
621,Domingo Leyba\leybado01,25,BAL,72,.223,28,.188,.062,1.4%,22.2%,8.3%,81.1,14.3%,28.6%,32.7%,28.6%,0.48,26.5%,59.2%,14.3%,-0.6,0.0%,-6.1,31%,,25%
622,Josh Lindblom\lindbjo01,34,MIL,1,.000,-134,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.2,,,
623,Francisco Lindor\lindofr01,27,NYM,524,.325,102,.248,.181,3.8%,18.3%,11.1%,89.1,44.2%,21.9%,38.9%,29.9%,0.67,31.2%,52.9%,15.9%,-0.1,0.5%,13.8,36%,71%,49%
624,Zack Littell\litteza01,25,SFG,4,.225,28,1.000,.000,0.0%,75.0%,0.0%,97.2,100.0%,100.0%,0.0%,0.0%,0.00,0.0%,0.0%,100.0%,0.0,0.0%,-0.6,0%,,
625,Jose Lobaton\lobatjo01,36,CHC,13,.107,-57,.000,.000,0.0%,38.5%,15.4%,90.4,50.0%,16.7%,66.7%,16.7%,2.00,33.3%,33.3%,33.3%,-0.1,-0.1%,-1.8,50%,,
626,Tim Locastro\locasti01,28,TOT,156,.240,40,.219,.072,1.3%,21.2%,4.5%,81.2,16.8%,18.7%,42.1%,30.8%,0.75,25.5%,53.8%,20.8%,-0.8,-0.2%,-13.1,28%,63%,33%
627,Tim Locastro\locasti01,28,ARI,133,.236,37,.220,.042,0.8%,19.6%,4.5%,81.0,16.3%,19.6%,41.3%,30.4%,0.73,23.1%,56.0%,20.9%,-0.6,-0.1%,-10.5,23%,63%,38%
628,Tim Locastro\locasti01,28,NYY,23,.262,59,.214,.238,4.4%,30.4%,4.4%,82.4,20.0%,13.3%,46.7%,33.3%,0.88,40.0%,40.0%,20.0%,-0.2,-0.1%,-2.5,75%,,0%
629,Sammy Long\longsa01,25,SFG,11,.090,-84,.167,.000,0.0%,36.4%,0.0%,72.8,14.3%,28.6%,57.1%,0.0%,2.00,0.0%,85.7%,14.3%,-0.1,-0.1%,-2.3,0%,,
630,Shed Long\longsh01,25,SEA,121,.277,73,.265,.162,3.3%,32.2%,7.4%,86.3,35.6%,16.4%,61.6%,17.8%,1.73,26.0%,56.2%,17.8%,0.2,0.0%,-4.2,33%,100%,27%
631,Evan Longoria\longoev01,35,SFG,291,.368,131,.305,.221,4.5%,23.4%,12.0%,94.1,54.5%,21.9%,41.2%,31.6%,0.70,26.2%,55.1%,18.7%,-0.1,-0.2%,9.7,36%,50%,39%
632,Tim Lopes\lopesti01,27,MIL,11,.099,-31,.167,.000,0.0%,36.4%,9.1%,94.7,66.7%,33.3%,16.7%,33.3%,0.20,0.0%,66.7%,33.3%,-0.3,-0.2%,-1.7,50%,0%,
633,Alejo Lopez\lopezal03,25,CIN,23,.230,18,.333,.000,0.0%,21.7%,0.0%,84.8,16.7%,22.2%,61.1%,16.7%,1.57,27.8%,61.1%,11.1%,-0.6,-0.5%,-4.2,50%,,0%
634,Jack Lopez\lopezja03,28,BOS,16,.225,14,.286,.154,0.0%,37.5%,6.3%,74.0,11.1%,33.3%,22.2%,22.2%,0.40,22.2%,44.4%,33.3%,0.0,0.1%,-1.5,50%,,0%
635,Jorge Lopez\lopezjo02,28,BAL,2,.000,-129,.000,.000,0.0%,50.0%,0.0%,75.6,0.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,-0.1,0.0%,-0.5,,,
636,Nicky Lopez\lopezni01,26,KCR,565,.339,102,.347,.078,0.4%,13.1%,8.7%,84.3,27.0%,22.1%,53.2%,16.9%,1.27,22.9%,57.7%,19.5%,1.2,-0.3%,8.1,38%,96%,46%
637,Otto Lopez\lopezot01,22,TOR,1,.000,-128,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.1,,,
638,Pablo Lopez\lopezpa01,25,MIA,35,.103,-68,.125,.061,0.0%,48.6%,0.0%,71.2,22.2%,22.2%,50.0%,11.1%,1.50,11.1%,77.8%,11.1%,-0.8,-0.4%,-9.1,100%,,0%
639,Michael Lorenzen\lorenmi01,29,CIN,1,.000,-145,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.1,,,
640,Brandon Lowe\lowebr01,26,TBR,615,.366,140,.280,.277,6.3%,27.2%,11.1%,89.0,43.1%,24.8%,34.0%,32.9%,0.52,34.2%,46.6%,19.1%,3.2,1.9%,38.9,34%,88%,55%
641,Josh Lowe\lowejo01,23,TBR,2,.864,410,1.000,.000,0.0%,0.0%,50.0%,43.3,0.0%,0.0%,100.0%,0.0%,,0.0%,0.0%,100.0%,0.1,0.0%,0.8,0%,100%,
642,Nathaniel Lowe\lowena01,25,TEX,642,.344,116,.339,.151,2.8%,25.2%,12.5%,90.8,45.5%,20.9%,54.5%,23.4%,1.20,18.1%,57.4%,24.4%,1.5,0.3%,16.3,27%,100%,32%
643,Jed Lowrie\lowrije01,37,OAK,512,.318,103,.289,.153,2.7%,21.1%,9.6%,90.7,45.8%,24.9%,36.8%,32.6%,0.58,30.9%,52.7%,16.4%,1.8,1.4%,9.1,28%,,38%
644,Joey Lucchesi\lucchjo01,28,NYM,11,.063,-83,.000,.000,0.0%,63.6%,9.1%,64.7,33.3%,0.0%,100.0%,0.0%,,0.0%,66.7%,33.3%,-0.2,-0.2%,-2.0,100%,,
645,Jonathan Lucroy\lucrojo01,35,TOT,23,.351,118,.400,.053,0.0%,17.4%,13.0%,88.4,43.8%,25.0%,37.5%,18.8%,0.67,43.8%,37.5%,18.8%,-0.2,-0.1%,0.6,22%,,100%
646,Jonathan Lucroy\lucrojo01,35,WSN,14,.339,112,.417,.071,0.0%,14.3%,0.0%,92.8,50.0%,33.3%,41.7%,16.7%,0.71,50.0%,33.3%,16.7%,-0.2,-0.1%,0.1,0%,,
647,Jonathan Lucroy\lucrojo01,35,ATL,9,.373,128,.333,.000,0.0%,22.2%,33.3%,75.1,25.0%,0.0%,25.0%,25.0%,0.50,25.0%,50.0%,25.0%,0.0,0.0%,0.5,50%,,100%
648,Seth Lugo\lugose01,31,NYM,1,.902,511,.000,.000,0.0%,0.0%,0.0%,22.8,0.0%,0.0%,0.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,-0.4,,,
649,Jordan Luplow\luplojo01,27,TOT,193,.339,118,.232,.252,5.7%,29.5%,14.5%,86.4,32.1%,14.2%,32.1%,39.6%,0.48,31.1%,52.8%,16.0%,0.4,0.2%,5.9,23%,33%,31%
650,Jordan Luplow\luplojo01,27,CLE,121,.332,113,.167,.265,5.8%,25.6%,17.4%,87.3,34.3%,11.9%,31.3%,44.8%,0.47,28.4%,55.2%,16.4%,0.2,0.1%,5.4,15%,0%,36%
651,Jordan Luplow\luplojo01,27,TBR,72,.351,128,.343,.231,5.6%,36.1%,9.7%,84.7,28.2%,17.9%,33.3%,30.8%,0.50,35.9%,48.7%,15.4%,0.2,0.1%,0.5,37%,100%,20%
652,Gavin Lux\luxga01,23,LAD,381,.322,94,.300,.122,1.8%,21.8%,10.8%,89.8,40.2%,24.8%,46.9%,22.0%,0.88,30.7%,56.3%,13.0%,-0.3,-0.3%,3.5,35%,80%,69%
653,Jesus Luzardo\luzarje01,23,TOT,20,.194,2,.000,.000,0.0%,30.0%,20.0%,66.8,0.0%,0.0%,70.0%,10.0%,7.00,0.0%,70.0%,30.0%,-0.2,0.0%,-2.2,25%,,0%
654,Jesus Luzardo\luzarje01,23,OAK,1,.000,-121,.000,.000,0.0%,0.0%,0.0%,84.2,0.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,-0.2,,,
655,Jesus Luzardo\luzarje01,23,MIA,19,.205,9,.000,.000,0.0%,31.6%,21.1%,64.8,0.0%,0.0%,66.7%,11.1%,6.00,0.0%,66.7%,33.3%,-0.2,0.0%,-2.0,25%,,0%
656,Jordan Lyles\lylesjo01,30,TEX,6,.000,-125,.000,.000,0.0%,83.3%,0.0%,79.6,0.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,-0.2,0.0%,-1.6,,,
657,Lance Lynn\lynnla01,34,CHW,5,.178,-1,.500,.000,0.0%,60.0%,0.0%,83.6,0.0%,50.0%,50.0%,0.0%,1.00,0.0%,50.0%,50.0%,0.0,0.0%,-0.3,0%,,
658,Manny Machado\machama01,28,SDP,640,.359,128,.290,.211,4.4%,15.9%,9.8%,93.0,52.3%,26.4%,39.3%,25.4%,0.65,27.1%,56.9%,16.1%,2.0,1.2%,29.0,33%,80%,41%
659,Vimael Machin\machivi01,27,OAK,37,.159,-15,.182,.000,0.0%,27.0%,8.1%,82.6,25.0%,20.8%,41.7%,20.8%,0.91,16.7%,58.3%,25.0%,-0.3,-0.3%,-4.7,13%,,0%
660,Luis Madero\maderlu01,24,MIA,1,.000,-131,.000,.000,0.0%,0.0%,0.0%,29.8,0.0%,0.0%,0.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,-0.3,,,
661,Nick Madrigal\madrini01,24,CHW,215,.354,125,.324,.120,0.9%,7.9%,5.1%,84.9,23.4%,23.9%,58.2%,14.7%,1.43,9.2%,63.6%,27.2%,0.1,0.0%,6.8,38%,33%,58%
662,Kenta Maeda\maedake01,33,MIN,4,.297,81,.500,.000,0.0%,25.0%,0.0%,68.1,33.3%,0.0%,33.3%,0.0%,1.00,33.3%,66.7%,0.0%,0.0,0.0%,-0.3,67%,,100%
663,Tyler Mahle\mahlety01,26,CIN,66,.091,-101,.083,.000,0.0%,28.8%,6.1%,73.9,18.6%,9.3%,58.1%,9.3%,2.78,11.6%,48.8%,39.5%,-1.3,-0.8%,-16.8,14%,,0%
664,Luke Maile\mailelu01,30,MIL,34,.356,118,.391,.133,0.0%,20.6%,8.8%,79.6,26.1%,21.7%,69.6%,8.7%,2.29,30.4%,39.1%,30.4%,-0.2,-0.2%,0.8,43%,,50%
665,Martin Maldonado\maldoma01,34,HOU,426,.266,61,.221,.129,2.8%,29.8%,11.0%,87.3,33.2%,23.5%,36.0%,32.4%,0.57,30.4%,52.6%,17.0%,-2.3,-1.4%,-24.1,27%,,24%
666,Sean Manaea\manaese01,29,OAK,5,.507,271,.667,.250,0.0%,20.0%,0.0%,59.0,25.0%,25.0%,25.0%,0.0%,1.00,0.0%,50.0%,50.0%,0.0,0.0%,-0.5,0%,,0%
667,Trey Mancini\mancitr01,29,BAL,616,.327,102,.308,.176,3.4%,23.2%,8.3%,88.9,42.1%,23.2%,49.0%,22.7%,0.96,26.3%,51.2%,22.5%,-0.3,-0.2%,-1.2,31%,,33%
668,Matt Manning\mannima02,23,DET,1,.000,-122,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.2,,,
669,Alek Manoah\manoaal01,23,TOR,1,.000,-128,,.000,0.0%,100.0%,0.0%,,,,,,,,,,-0.1,0.0%,-0.8,,,
670,Tucupita Marcano\marcatu01,21,SDP,50,.222,40,.229,.023,0.0%,18.0%,12.0%,85.1,31.4%,17.1%,65.7%,17.1%,1.92,31.4%,48.6%,20.0%,-0.6,-0.4%,-6.0,47%,0%,60%
671,Rafael Marchan\marchra01,22,PHI,56,.293,75,.268,.115,1.8%,17.9%,7.1%,83.8,19.0%,28.6%,40.5%,16.7%,0.68,19.0%,71.4%,9.5%,-0.1,-0.1%,-4.6,40%,,67%
672,Manuel Margot\margoma01,26,TBR,464,.304,99,.281,.128,2.2%,15.1%,8.0%,87.3,40.3%,21.6%,46.9%,22.2%,0.90,23.6%,60.7%,15.7%,0.2,0.8%,-2.5,33%,62%,43%
673,Jake Marisnick\marisja01,30,TOT,198,.291,73,.306,.159,2.5%,32.8%,5.6%,87.3,36.5%,30.4%,36.5%,20.0%,0.59,30.4%,47.8%,21.7%,-0.4,0.1%,0.4,30%,80%,50%
674,Jake Marisnick\marisja01,30,CHC,144,.315,89,.293,.211,3.5%,29.9%,6.3%,87.7,42.0%,28.4%,38.6%,19.3%,0.64,26.1%,52.3%,21.6%,0.1,0.2%,7.0,31%,75%,50%
675,Jake Marisnick\marisja01,30,SDP,54,.227,32,.346,.021,0.0%,40.7%,3.7%,85.9,18.5%,37.0%,29.6%,22.2%,0.44,44.4%,33.3%,22.2%,-0.5,-0.1%,-6.7,27%,100%,50%
676,Jose Marmolejos\marmojo01,28,SEA,122,.256,60,.203,.151,3.3%,32.0%,12.3%,89.4,35.3%,25.0%,29.4%,30.9%,0.42,29.4%,50.0%,20.6%,-0.3,-0.2%,-6.8,25%,,30%
677,German Marquez\marquge01,26,COL,60,.308,71,.333,.151,1.7%,21.7%,0.0%,73.3,23.4%,29.8%,31.9%,12.8%,0.68,19.1%,68.1%,12.8%,-0.2,-0.1%,-2.7,31%,,0%
678,Deven Marrero\marrede01,30,MIA,19,.318,85,.222,.188,5.3%,31.6%,15.8%,78.5,10.0%,10.0%,40.0%,30.0%,0.67,10.0%,60.0%,30.0%,-0.3,0.0%,-2.2,50%,100%,
679,Brandon Marsh\marshbr02,23,LAA,260,.300,81,.403,.102,0.8%,35.0%,7.7%,90.9,52.1%,33.3%,42.9%,21.1%,0.78,24.0%,56.2%,19.9%,-1.2,-0.1%,-8.3,31%,86%,60%
680,Ketel Marte\marteke01,27,ARI,374,.390,143,.352,.215,3.7%,16.0%,8.3%,90.8,48.4%,26.3%,45.6%,19.9%,0.85,29.9%,49.1%,21.0%,0.4,0.1%,22.7,30%,100%,41%
681,Luis Marte\martelu02,27,MIA,7,.214,20,.250,.000,0.0%,28.6%,14.3%,82.9,0.0%,25.0%,25.0%,0.0%,0.33,0.0%,25.0%,75.0%,0.0,0.0%,0.0,100%,,100%
682,Starling Marte\martest01,32,TOT,526,.387,136,.372,.148,2.3%,18.8%,8.2%,86.7,39.6%,22.9%,54.7%,16.7%,1.25,25.1%,55.0%,19.9%,3.5,1.7%,34.6,41%,90%,65%
683,Starling Marte\martest01,32,MIA,275,.391,136,.376,.146,2.6%,20.7%,11.6%,86.0,37.6%,22.5%,54.5%,16.3%,1.26,22.5%,60.7%,16.9%,1.9,0.6%,20.0,43%,88%,55%
684,Starling Marte\martest01,32,OAK,251,.384,137,.367,.150,2.0%,16.7%,4.4%,87.4,41.5%,23.3%,54.9%,17.1%,1.25,27.5%,49.7%,22.8%,1.5,1.1%,14.5,38%,93%,80%
685,Corbin Martin\martico02,25,ARI,4,.225,27,1.000,.000,0.0%,75.0%,0.0%,94.4,0.0%,100.0%,0.0%,0.0%,0.00,0.0%,100.0%,0.0%,-0.1,0.0%,-0.7,0%,,
686,Jason Martin\martija03,25,TEX,154,.261,58,.245,.146,3.9%,26.6%,5.2%,85.5,33.7%,20.0%,43.8%,21.9%,0.84,38.1%,45.7%,16.2%,-1.1,-0.2%,-5.2,24%,75%,44%
687,Richie Martin\martiri01,26,BAL,105,.234,42,.314,.051,1.0%,26.7%,3.8%,82.6,29.2%,19.4%,48.6%,18.1%,1.09,20.8%,47.2%,31.9%,-0.7,0.0%,-10.4,30%,0%,38%
688,Carlos Martinez\martica04,29,STL,25,.089,-68,.222,.042,0.0%,60.0%,0.0%,74.1,10.0%,20.0%,60.0%,10.0%,2.00,30.0%,70.0%,0.0%,-0.4,-0.3%,-4.8,50%,,0%
689,J.D. Martinez\martijd02,33,BOS,634,.369,127,.340,.232,4.4%,23.7%,8.7%,92.1,49.4%,28.9%,34.1%,31.5%,0.52,24.7%,52.7%,22.6%,1.7,1.1%,22.7,33%,,46%
690,Nick Martini\martini02,31,CHC,45,.280,73,.345,.027,0.0%,22.2%,13.3%,89.3,41.4%,27.6%,37.9%,20.7%,0.61,10.3%,69.0%,20.7%,-0.2,-0.2%,-3.4,24%,0%,50%
691,Jorge Mateo\mateojo01,26,TOT,209,.295,79,.324,.129,1.9%,26.3%,4.3%,84.7,31.2%,27.0%,39.7%,22.7%,0.67,30.5%,55.3%,14.2%,-1.5,-0.8%,-8.6,24%,77%,46%
692,Jorge Mateo\mateojo01,26,SDP,93,.273,59,.276,.115,2.2%,29.0%,2.2%,83.9,31.1%,24.6%,45.9%,19.7%,0.90,39.3%,52.5%,8.2%,-1.1,-0.8%,-7.6,31%,100%,25%
693,Jorge Mateo\mateojo01,26,BAL,116,.313,94,.359,.140,1.7%,24.1%,6.0%,85.3,31.3%,28.8%,35.0%,25.0%,0.54,23.8%,57.5%,18.8%,-0.4,0.0%,-0.9,19%,63%,57%
694,Jeff Mathis\mathije01,38,ATL,9,.000,-140,.000,.000,0.0%,55.6%,0.0%,74.5,0.0%,25.0%,25.0%,25.0%,0.50,25.0%,25.0%,50.0%,-0.2,-0.1%,-2.1,,,
695,Wyatt Mathisen\mathiwy01,27,ARI,51,.239,37,.190,.071,2.0%,41.2%,9.8%,86.8,40.9%,31.8%,22.7%,18.2%,0.29,27.3%,50.0%,22.7%,-0.3,-0.2%,-2.1,17%,,100%
696,Nick Maton\matonni01,24,PHI,131,.323,94,.364,.128,1.5%,29.8%,7.6%,86.9,35.0%,30.0%,32.5%,31.3%,0.49,31.3%,53.8%,15.0%,0.7,0.7%,3.2,34%,100%,27%
697,Phil Maton\matonph01,28,TOT,1,.000,-127,.000,.000,0.0%,0.0%,0.0%,90.2,0.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,-0.1,,,
698,Phil Maton\matonph01,28,CLE,1,.000,-127,.000,.000,0.0%,0.0%,0.0%,90.2,0.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,-0.1,,,
699,Steven Matz\matzst01,30,TOR,2,.000,-128,.000,.000,0.0%,50.0%,0.0%,70.7,0.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,-0.1,0.0%,-0.5,,,
700,Dustin May\maydu01,23,LAD,4,.000,-211,,.000,0.0%,75.0%,0.0%,58.2,0.0%,0.0%,0.0%,0.0%,,0.0%,100.0%,0.0%,-0.1,-0.1%,-1.4,,,
701,Cameron Maybin\maybica01,34,NYM,33,.139,-35,.063,.000,0.0%,36.4%,9.1%,84.9,37.5%,12.5%,62.5%,12.5%,2.00,43.8%,31.3%,25.0%,-0.4,-0.3%,-4.3,33%,100%,0%
702,Jack Mayfield\mayfija01,30,TOT,290,.294,78,.254,.169,3.5%,23.5%,5.9%,83.4,27.1%,18.3%,38.1%,25.7%,0.65,28.2%,50.0%,21.8%,-0.5,-0.4%,-4.1,29%,100%,46%
703,Jack Mayfield\mayfija01,30,LAA,255,.311,88,.255,.190,3.9%,22.8%,6.3%,83.6,28.0%,19.1%,37.1%,25.8%,0.62,29.2%,48.3%,22.5%,0.0,-0.1%,0.4,29%,100%,47%
704,Jack Mayfield\mayfija01,30,SEA,35,.177,4,.250,.029,0.0%,28.6%,2.9%,81.4,20.8%,12.5%,45.8%,25.0%,0.92,20.8%,62.5%,16.7%,-0.5,-0.3%,-4.4,29%,,33%
705,Nomar Mazara\mazarno01,26,DET,181,.268,67,.271,.109,1.7%,24.9%,8.3%,90.5,39.7%,23.1%,47.9%,24.0%,0.92,25.6%,55.4%,19.0%,-0.3,-0.1%,-3.0,19%,,46%
706,Patrick Mazeika\mazeipa01,27,NYM,87,.238,40,.230,.076,1.2%,20.7%,4.6%,85.4,21.0%,27.4%,40.3%,17.7%,0.71,38.7%,43.5%,17.7%,-0.5,-0.2%,-5.7,24%,,20%
707,Ryan McBroom\mcbrory01,29,KCR,9,.265,56,1.000,.000,0.0%,66.7%,11.1%,83.6,0.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,-0.7,33%,,50%
708,James McCann\mccanja02,31,NYM,412,.282,73,.304,.117,2.4%,27.9%,7.8%,87.1,40.8%,20.2%,51.7%,24.0%,1.08,22.1%,58.2%,19.8%,-2.1,-1.6%,-14.1,17%,33%,21%
709,Jake McCarthy\mccarja02,23,ARI,70,.311,91,.324,.153,2.9%,32.9%,11.4%,78.8,13.9%,5.4%,56.8%,35.1%,1.40,40.5%,43.2%,16.2%,-0.3,0.0%,-2.2,41%,60%,63%
710,Darren McCaughan\mccauda01,25,SEA,2,.000,-121,.000,.000,0.0%,0.0%,0.0%,77.2,0.0%,0.0%,100.0%,0.0%,,50.0%,0.0%,50.0%,0.0,0.0%,-0.5,,,
711,Chas McCormick\mccorch01,26,HOU,320,.331,106,.341,.190,4.4%,32.5%,7.8%,90.3,49.2%,20.9%,35.3%,40.1%,0.55,27.3%,52.4%,20.3%,1.0,0.4%,7.9,34%,67%,43%
712,Lance McCullers Jr.\mcculla02,27,HOU,4,.000,-127,.000,.000,0.0%,75.0%,0.0%,88.4,0.0%,0.0%,100.0%,0.0%,,100.0%,0.0%,0.0%,-0.1,-0.1%,-1.6,0%,,0%
713,Andrew McCutchen\mccutan01,34,PHI,574,.342,109,.242,.222,4.7%,23.0%,14.1%,88.8,39.6%,21.6%,40.9%,30.5%,0.69,37.5%,48.7%,13.7%,0.7,-0.1%,13.2,31%,86%,44%
714,Kyle McGowin\mcgowky01,29,WSN,1,.000,-128,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.2,,,
715,Reese McGuire\mcguire01,26,TOR,217,.286,74,.318,.091,0.5%,20.3%,6.9%,86.3,32.9%,28.2%,39.7%,23.7%,0.69,27.6%,55.8%,16.7%,-1.0,-0.8%,-12.8,31%,,57%
716,Ryan McKenna\mckenry01,24,BAL,197,.268,59,.312,.083,1.0%,37.6%,12.2%,85.3,34.0%,30.9%,44.3%,17.5%,0.83,23.7%,55.7%,20.6%,-0.6,-0.3%,-5.0,25%,100%,50%
717,Triston McKenzie\mckentr01,23,CLE,2,.446,187,.500,.000,0.0%,0.0%,0.0%,95.0,50.0%,50.0%,50.0%,0.0%,1.00,0.0%,50.0%,50.0%,-0.1,0.0%,-0.7,0%,,
718,Billy McKinney\mckinbi01,26,TOT,300,.280,65,.235,.166,3.0%,26.3%,10.7%,88.1,34.6%,23.4%,37.2%,32.4%,0.59,35.1%,46.3%,18.6%,-1.1,-0.8%,-12.2,30%,100%,29%
719,Billy McKinney\mckinbi01,26,MIL,100,.267,53,.242,.152,3.0%,24.0%,7.0%,89.4,37.7%,30.4%,37.7%,26.1%,0.60,31.9%,53.6%,14.5%,-1.1,-0.8%,-11.6,26%,100%,29%
720,Billy McKinney\mckinbi01,26,NYM,102,.333,106,.273,.253,4.9%,30.4%,10.8%,87.4,36.7%,21.7%,38.3%,28.3%,0.62,40.0%,43.3%,16.7%,0.4,0.4%,5.0,37%,100%,25%
721,Billy McKinney\mckinbi01,26,LAD,98,.236,34,.190,.085,1.0%,24.5%,14.3%,87.2,28.8%,16.9%,35.6%,44.1%,0.55,33.9%,40.7%,25.4%,-0.4,-0.4%,-5.6,27%,,33%
722,Zach McKinstry\mckinza01,26,LAD,172,.282,68,.262,.190,4.1%,29.1%,5.8%,87.6,35.1%,20.7%,42.3%,31.5%,0.76,34.2%,54.1%,11.7%,0.2,0.1%,2.5,30%,50%,39%
723,Ryan McMahon\mcmahry01,26,COL,596,.338,95,.306,.195,3.9%,24.7%,9.9%,90.2,43.8%,27.7%,39.1%,28.0%,0.65,21.0%,56.0%,23.1%,1.5,0.2%,4.2,32%,75%,55%
724,Jeff McNeil\mcneije01,29,NYM,426,.308,89,.280,.109,1.6%,13.6%,6.8%,88.0,33.6%,22.8%,46.5%,22.5%,0.87,25.8%,55.3%,18.8%,-2.0,-1.0%,-14.6,32%,100%,23%
725,Austin Meadows\meadoau01,26,TBR,591,.331,117,.249,.224,4.6%,20.6%,10.0%,89.3,38.1%,23.8%,28.7%,36.9%,0.40,30.7%,51.7%,17.6%,2.1,1.6%,24.9,33%,57%,52%
726,John Means\meansjo01,28,BAL,5,.246,45,.333,.200,0.0%,40.0%,0.0%,63.1,33.3%,0.0%,0.0%,33.3%,0.00,0.0%,100.0%,0.0%,-0.1,0.0%,-0.9,0%,,
727,Nick Mears\mearsni01,24,PIT,1,.000,-131,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.8,,,
728,Adonis Medina\medinad01,24,PHI,1,.000,-132,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.2,,,
729,Tylor Megill\megilty01,25,NYM,31,.242,40,.545,.107,0.0%,54.8%,3.2%,81.0,46.2%,23.1%,61.5%,0.0%,2.67,7.7%,46.2%,46.2%,-0.3,-0.2%,-4.5,14%,,0%
730,Francisco Mejia\mejiafr01,25,TBR,277,.322,110,.299,.156,2.2%,17.7%,6.1%,85.0,28.9%,22.1%,41.2%,23.0%,0.72,32.8%,49.0%,18.1%,-0.3,0.1%,6.1,30%,,37%
731,Humberto Mejia\mejiahu01,24,ARI,8,.178,-21,.200,.143,0.0%,25.0%,0.0%,71.2,16.7%,50.0%,33.3%,0.0%,0.67,0.0%,83.3%,16.7%,-0.1,0.0%,-1.6,100%,,100%
732,J.C. Mejia\mejiaje02,24,CLE,1,.000,-127,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.1,,,
733,Mark Melancon\melanma01,36,SDP,1,,,,,0.0%,0.0%,0.0%,32.2,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,100.0%,0.0,0.0%,-0.2,,,
734,Danny Mendick\mendida01,27,CHW,186,.265,62,.281,.067,1.1%,22.6%,9.7%,82.0,28.7%,24.2%,41.1%,21.0%,0.74,23.4%,54.8%,21.8%,-1.0,-0.4%,-4.8,22%,0%,47%
735,Oscar Mercado\mercaos01,26,CLE,238,.316,93,.253,.145,2.5%,17.7%,8.8%,85.6,28.4%,19.7%,42.8%,23.7%,0.76,31.2%,50.3%,18.5%,-0.4,-0.2%,-0.7,31%,88%,36%
736,Yermin Mercedes\merceye01,28,CHW,262,.331,108,.309,.133,2.7%,17.6%,7.6%,87.3,29.2%,23.1%,40.5%,28.2%,0.68,26.7%,50.3%,23.1%,-0.6,-0.6%,-0.3,24%,0%,32%
737,Jordy Mercer\mercejo03,34,WSN,127,.303,87,.341,.110,1.6%,26.8%,7.1%,86.7,33.3%,33.3%,38.1%,19.0%,0.62,31.0%,47.6%,21.4%,-1.1,-0.2%,-4.1,29%,,25%
738,Whit Merrifield\merriwh01,32,KCR,720,.321,88,.309,.117,1.4%,14.3%,5.6%,86.4,28.8%,26.7%,41.0%,25.8%,0.71,23.8%,53.5%,22.7%,0.7,0.4%,9.3,40%,91%,43%
739,Jake Meyers\meyerja02,25,HOU,163,.335,106,.352,.178,3.7%,30.7%,6.1%,88.4,36.4%,29.3%,42.4%,24.2%,0.76,23.2%,58.6%,18.2%,0.0,0.1%,2.0,33%,100%,41%
740,Miles Mikolas\mikolmi01,32,STL,15,.077,-183,.000,.000,0.0%,33.3%,6.7%,55.5,11.1%,22.2%,0.0%,0.0%,0.00,11.1%,55.6%,33.3%,-0.2,-0.1%,-3.2,0%,,
741,Wade Miley\mileywa01,34,CIN,59,.211,1,.244,.056,0.0%,22.0%,5.1%,80.6,25.6%,20.9%,55.8%,9.3%,1.60,20.9%,46.5%,32.6%,-0.5,-0.3%,-7.9,69%,,29%
742,Brad Miller\millebr02,31,PHI,377,.334,103,.276,.227,5.3%,29.7%,11.9%,92.1,47.9%,21.9%,44.3%,26.5%,0.80,27.1%,57.8%,15.1%,0.0,-0.4%,5.4,33%,100%,31%
743,Brian Miller\millebr03,25,MIA,11,.228,30,.375,.000,0.0%,27.3%,0.0%,75.1,12.5%,25.0%,37.5%,25.0%,0.75,37.5%,37.5%,25.0%,0.0,0.0%,-0.2,25%,,
